Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity
1/11/2018,13269.5975,1223960,1.85E+19,4202812.5,360134883,8.29E+21,697.4408335,4445073.857,125.440002,42.02,16.01,276.119995,124.309998,23.959999,2.963354082,54
1/12/2018,13633.36375,1152553,1.71E+19,4200587.5,360625369,8.29E+21,617.6357942,4444085.714,126.959999,42.380001,16.27,277.920013,124.519997,23.709999,2.963354082,54
1/13/2018,14165.90625,943063,1.58E+19,4198725,361058371,9.57E+21,528.466321,4443097.571,126.959999,42.380001,16.27,277.920013,124.519997,23.709999,2.963354082,54
1/14/2018,14217.3625,967573,1.74E+19,4196787.5,361438881,9.57E+21,491.3244648,4442109.429,126.959999,42.380001,16.27,277.920013,124.519997,23.709999,2.963354082,54
1/15/2018,13519.92625,952991,1.65E+19,4194912.5,361887752,9.57E+21,510.1176178,4441121.286,126.959999,42.380001,16.27,277.920013,124.519997,23.709999,2.963354082,54
1/16/2018,12915.11625,999056,1.75E+19,4192925,362364774,9.57E+21,606.3824601,4440133.143,127.169998,41.84,16.25,276.970001,125.040001,23.58,2.963354082,54
1/17/2018,10870.16875,1090512,1.85E+19,4190837.5,362866320,9.57E+21,675.0966865,4439145,126.139999,42.169998,16.059999,279.609985,124.870003,23.639999,2.963354082,54
1/18/2018,11340.65,1053517,1.92E+19,4188675,363352712,9.57E+21,656.8975354,4439455.286,125.860001,41.830002,15.97,279.140015,123.709999,23.610001,2.963354082,54
1/19/2018,11137.36875,1027739,1.81E+19,4186612.5,363731907,9.57E+21,491.4899943,4439765.571,126.419998,41.790001,16.049999,280.410004,123.059998,23.65,2.963354082,54
1/20/2018,11742.94125,973522,1.97E+19,4184387.5,364105467,9.57E+21,429.4031975,4440075.857,126.419998,41.790001,16.049999,280.410004,123.059998,23.65,2.963354082,54
1/21/2018,12486.06625,985139,2.08E+19,4182050,364428633,9.57E+21,343.3626963,4440386.143,126.419998,41.790001,16.049999,280.410004,123.059998,23.65,2.963354082,54
1/22/2018,11508.62,944978,1.87E+19,4179962.5,364798048,9.57E+21,314.6125395,4440696.429,126.650002,42.68,16.040001,282.690002,123.18,23.57,2.963354082,54
1/23/2018,10872.9025,900239,1.93E+19,4177750,365149760,9.57E+21,285.9580052,4441006.714,127.279999,42.639999,16.08,283.290009,123.709999,23.51,2.963354082,54
1/24/2018,10830.9275,944565,1.96E+19,4175550,365530249,9.57E+21,283.498099,4441317,128.830002,42.509998,16.559999,283.179993,123.040001,23.280001,2.963354082,54
1/25/2018,11629.375,841497,1.96E+19,4173575,365882457,1.12E+22,220.8544664,4438161,127.970001,42.139999,16.309999,283.299988,124.050003,23.309999,2.963354082,54
1/26/2018,11524.345,807944,1.98E+19,4171637.5,366219352,1.12E+22,209.132216,4435005,128.070007,42.389999,16.41,286.579987,123.589996,23.26,2.963354082,54
1/27/2018,11005.615,870574,2.08E+19,4169675,366605451,1.12E+22,168.2546936,4431849,128.070007,42.389999,16.41,286.579987,123.589996,23.26,2.963354082,54
1/28/2018,11452.23,768035,2.00E+19,4167700,366916089,1.12E+22,155.3448557,4428693,128.070007,42.389999,16.41,286.579987,123.589996,23.26,2.963354082,54
1/29/2018,11412.79375,778138,1.91E+19,4165850,367258231,1.12E+22,145.7511292,4425537,127.349998,41.73,16.209999,284.679993,122.730003,23.32,2.963354082,54
1/30/2018,10917.15125,838805,2.17E+19,4163762.5,367611051,1.12E+22,160.3009039,4422381,126.800003,40.849998,16.15,281.76001,122.010002,23.280001,2.963354082,54
1/31/2018,9914.4725,676270,1.52E+19,4162300,367924550,1.12E+22,162.2062363,4419225,127.650002,40.889999,16.35,281.899994,122.730003,23.25,2.963354082,54
2/1/2018,9970.30875,842398,2.05E+19,4160300,368309563,1.12E+22,214.0275449,4419442.143,128.070007,41.34,16.25,281.579987,120.699997,23.129999,3.004715232,40
2/2/2018,8715.59499,854253,2.17E+19,4158200,368660032,1.12E+22,274.3625824,4419659.286,126.389999,39.57,15.66,275.450012,119.580002,23.27,3.004715232,40
2/3/2018,8285.50124,714655,2.07E+19,4156225,368936648,1.12E+22,146.9277694,4419876.429,126.389999,39.57,15.66,275.450012,119.580002,23.27,3.004715232,40
2/4/2018,9192.045,720904,2.28E+19,4154000,369184938,1.12E+22,111.3166981,4420093.571,126.389999,39.57,15.66,275.450012,119.580002,23.27,3.004715232,40
2/5/2018,8136.39,903239,2.41E+19,4151687.5,369493226,1.12E+22,173.7675019,4420310.714,126.709999,37.919998,15.74,263.929993,120.709999,23.370001,3.004715232,40
2/6/2018,6332.37,999110,2.20E+19,4149562.5,369851566,1.23E+22,164.2699857,4420527.857,125.379997,38.25,15.65,269.130005,119.959999,23.42,3.004715232,40
2/7/2018,7270.5075,814500,2.00E+19,4147800,370167090,1.23E+22,123.521091,4420745,124.790001,37.59,15.41,267.670013,118.82,23.6,3.004715232,40
2/8/2018,7987.28125,746341,1.88E+19,4146162.5,370424765,1.23E+22,87.98500449,4422761.857,124.980003,36.41,15.46,257.630005,118.690002,23.6,3.004715232,40
2/9/2018,8086.7725,775346,1.92E+19,4144475,370702172,1.23E+22,88.36425123,4424778.714,124.769997,36.389999,15.39,261.5,117.940002,23.620001,3.004715232,40
2/10/2018,8930.13875,741833,2.04E+19,4142687.5,370976062,1.23E+22,88.79565618,4426795.571,124.769997,36.389999,15.39,261.5,117.940002,23.620001,3.004715232,40
2/11/2018,8045.44,818411,2.17E+19,4140800,371202925,1.23E+22,61.96458348,4428812.429,124.769997,36.389999,15.39,261.5,117.940002,23.620001,3.004715232,40
2/12/2018,8478.92499,914734,2.36E+19,4138725,371489295,1.23E+22,69.96971094,4430829.286,125.370003,37.040001,15.57,265.339996,118.459999,23.540001,3.004715232,40
2/13/2018,8766.8525,852822,2.41E+19,4136675,371768538,1.23E+22,68.57325292,4432846.143,126.080002,36.880001,15.62,266,118.989998,23.41,3.004715232,40
2/14/2018,8693.2525,937579,2.48E+19,4134437.5,372063189,1.23E+22,63.75846926,4434863,128.229996,37.439999,15.91,269.589996,117.669998,23.23,3.004715232,40
2/15/2018,9659.2875,788513,1.87E+19,4132800,372365490,1.23E+22,64.08005499,4431548.286,128.380005,37.360001,15.91,273.029999,118.07,23.129999,3.004715232,40
2/16/2018,10110.83875,773217,2.26E+19,4130837.5,372644241,1.23E+22,58.25713445,4428233.571,127.959999,37.279999,15.73,273.109985,118.709999,23.290001,3.004715232,40
2/17/2018,10474.77125,770441,2.12E+19,4128975,372907287,1.23E+22,48.63875388,4424918.857,127.959999,37.279999,15.73,273.109985,118.709999,23.290001,3.004715232,40
2/18/2018,10855.9375,730164,2.33E+19,4126950,373149861,1.23E+22,44.58328081,4421604.143,127.959999,37.279999,15.73,273.109985,118.709999,23.290001,3.004715232,40
2/19/2018,10537.00625,849880,2.29E+19,4124925,373435293,1.23E+22,50.9081119,4418289.429,127.959999,37.279999,15.73,273.109985,118.709999,23.290001,3.004715232,40
2/20/2018,11416.03875,714634,2.09E+19,4123162.5,373741716,1.29E+22,52.23072575,4414974.714,126.239998,37.07,15.54,271.399994,118.190002,23.440001,3.004715232,40
2/21/2018,10928.02,705377,2.52E+19,4121050,374047846,1.29E+22,40.68256761,4411660,125.660004,36.450001,15.54,270.049988,116.739998,23.530001,3.004715232,40
2/22/2018,10727.9525,713584,2.24E+19,4119187.5,374325899,1.29E+22,37.60222865,4409051.571,126.300003,36.880001,15.66,270.399994,117.089996,23.450001,3.004715232,40
2/23/2018,9809.72125,739558,2.20E+19,4117337.5,374596429,1.29E+22,73.94810594,4406443.143,126.139999,37.700001,15.59,274.709991,118.129997,23.5,3.004715232,40
2/24/2018,10412.36875,704052,2.15E+19,4115525,374819339,1.29E+22,96.10766905,4403834.714,126.139999,37.700001,15.59,274.709991,118.129997,23.5,3.004715232,40
2/25/2018,9585.285,528643,2.56E+19,4113387.5,375037743,1.29E+22,41.44060303,4401226.286,126.139999,37.700001,15.59,274.709991,118.129997,23.5,3.004715232,40
2/26/2018,9627.71625,669611,2.12E+19,4111625,375315893,1.29E+22,46.19035139,4398617.857,126.449997,37.91,15.68,277.899994,118.169998,23.469999,3.004715232,40
2/27/2018,10272.9025,713393,2.37E+19,4109625,375644263,1.29E+22,50.54578675,4396009.429,125.129997,37.380001,15.48,274.429993,118,23.620001,3.004715232,40
