PERMNO,date,TICKER,PRC
16289,2018/06/19,FINX,27.21000
16289,2018/06/20,FINX,27.29000
16289,2018/06/21,FINX,27.15240
16289,2018/06/22,FINX,27.12000
16289,2018/06/25,FINX,26.29000
16289,2018/06/26,FINX,26.39000
16289,2018/06/27,FINX,25.75000
16289,2018/06/28,FINX,25.80000
16289,2018/06/29,FINX,26.04990
16289,2018/07/02,FINX,26.06000
16289,2018/07/03,FINX,26.06000
16289,2018/07/05,FINX,26.43000
16289,2018/07/06,FINX,26.72000
16289,2018/07/09,FINX,26.99000
16289,2018/07/10,FINX,27.00000
16289,2018/07/11,FINX,26.93000
16289,2018/07/12,FINX,27.17000
16289,2018/07/13,FINX,27.10000
16289,2018/07/16,FINX,27.15000
16289,2018/07/17,FINX,27.27000
16289,2018/07/18,FINX,27.35000
16289,2018/07/19,FINX,27.21000
16289,2018/07/20,FINX,27.48000
16289,2018/07/23,FINX,27.67000
16289,2018/07/24,FINX,27.54000
16289,2018/07/25,FINX,27.92000
16289,2018/07/26,FINX,27.66000
16289,2018/07/27,FINX,26.96000
16289,2018/07/30,FINX,26.35000
16289,2018/07/31,FINX,26.26000
16289,2018/08/01,FINX,26.36000
16289,2018/08/02,FINX,26.87000
16289,2018/08/03,FINX,26.86000
16289,2018/08/06,FINX,26.95000
16289,2018/08/07,FINX,27.17000
16289,2018/08/08,FINX,27.23000
16289,2018/08/09,FINX,27.37000
16289,2018/08/10,FINX,27.31000
16289,2018/08/13,FINX,27.24000
16289,2018/08/14,FINX,27.44000
16289,2018/08/15,FINX,27.11000
16289,2018/08/16,FINX,27.38000
16289,2018/08/17,FINX,27.63000
16289,2018/08/20,FINX,27.75000
16289,2018/08/21,FINX,27.87000
16289,2018/08/22,FINX,28.15500
16289,2018/08/23,FINX,28.38000
16289,2018/08/24,FINX,28.72000
16289,2018/08/27,FINX,29.03500
16289,2018/08/28,FINX,28.98000
16289,2018/08/29,FINX,29.18000
16289,2018/08/30,FINX,29.17000
16289,2018/08/31,FINX,29.29060
16289,2018/09/04,FINX,29.31000
16289,2018/09/05,FINX,28.44000
16289,2018/09/06,FINX,28.27000
16289,2018/09/07,FINX,28.25000
16289,2018/09/10,FINX,28.37000
16289,2018/09/11,FINX,28.64000
16289,2018/09/12,FINX,28.66000
16289,2018/09/13,FINX,28.77000
16289,2018/09/14,FINX,28.98000
16289,2018/09/17,FINX,28.49000
16289,2018/09/18,FINX,28.69000
16289,2018/09/19,FINX,28.40000
16289,2018/09/20,FINX,28.48000
16289,2018/09/21,FINX,28.49000
16289,2018/09/24,FINX,28.40000
16289,2018/09/25,FINX,28.82000
16289,2018/09/26,FINX,28.74000
16289,2018/09/27,FINX,28.72000
16289,2018/09/28,FINX,28.75000
16289,2018/10/01,FINX,28.65000
16289,2018/10/02,FINX,28.44000
16289,2018/10/03,FINX,28.57000
16289,2018/10/04,FINX,27.95000
16289,2018/10/05,FINX,27.71000
16289,2018/10/08,FINX,27.00000
16289,2018/10/09,FINX,27.07000
16289,2018/10/10,FINX,25.49000
16289,2018/10/11,FINX,24.90000
16289,2018/10/12,FINX,25.67000
16289,2018/10/15,FINX,25.52000
16289,2018/10/16,FINX,26.39000
16289,2018/10/17,FINX,26.40000
16289,2018/10/18,FINX,26.04000
16289,2018/10/19,FINX,25.96000
16289,2018/10/22,FINX,26.09000
16289,2018/10/23,FINX,25.77000
16289,2018/10/24,FINX,24.80000
16289,2018/10/25,FINX,25.28000
16289,2018/10/26,FINX,24.60000
16289,2018/10/29,FINX,23.90000
16289,2018/10/30,FINX,24.49000
16289,2018/10/31,FINX,25.14000
16289,2018/11/01,FINX,25.62000
