Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity,FINX,QQQ,RIOT,Open_Interest_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All
2018-01-12,13633.36375,1152553.0,1.70519968707853e+19,4200587.5,360625369.0,8.29416791613813e+21,617.63579417,4444085.714285715,126.959999,42.380001,16.27,277.920013,124.519997,23.709999,2.963354082,54.0,23.54,164.49001,21.88,4624.0,2073.0,3980.0,2551.0,644.0
2018-01-13,14165.90625,943063.0,1.58475556668611e+19,4198725.0,361058371.0,9.56853274784391e+21,528.46632102,4443097.571428572,126.959999,42.380001,16.27,277.920013,124.519997,23.709999,2.963354082,54.0,23.54,164.49001,21.88,4624.0,2073.0,3980.0,2551.0,644.0
2018-01-14,14217.3625,967573.0,1.7386115420149e+19,4196787.5,361438881.0,9.56853274784391e+21,491.32446483,4442109.428571428,126.959999,42.380001,16.27,277.920013,124.519997,23.709999,2.963354082,54.0,23.54,164.49001,21.88,4624.0,2073.0,3980.0,2551.0,644.0
2018-01-15,13519.92625,952991.0,1.64741791740021e+19,4194912.5,361887752.0,9.56853274784391e+21,510.11761779,4441121.285714285,126.959999,42.380001,16.27,277.920013,124.519997,23.709999,2.963354082,54.0,23.54,164.49001,21.88,4624.0,2073.0,3980.0,2551.0,644.0
2018-01-16,12915.11625,999056.0,1.74822948222601e+19,4192925.0,362364774.0,9.56853274784391e+21,606.38246009,4440133.142857143,127.169998,41.84,16.25,276.970001,125.040001,23.58,2.963354082,54.0,23.27,164.02,18.28,4736.0,1732.0,3958.0,3004.0,778.0
2018-01-17,10870.16875,1090512.0,1.85471118539618e+19,4190837.5,362866320.0,9.56853274784391e+21,675.09668652,4439145.0,126.139999,42.169998,16.059998999999998,279.609985,124.870003,23.639999,2.963354082,54.0,23.62,165.78999,17.76,4736.0,1732.0,3958.0,3004.0,778.0
2018-01-18,11340.65,1053517.0,1.92145902586969e+19,4188675.0,363352712.0,9.56853274784391e+21,656.89753535,4439455.285714285,125.860001,41.830002,15.97,279.140015,123.709999,23.610001,2.963354082,54.0,23.51,165.82001,19.8,4736.0,1732.0,3958.0,3004.0,778.0
2018-01-19,11137.36875,1027739.0,1.80714004852543e+19,4186612.5,363731907.0,9.56853274784391e+21,491.48999429,4439765.571428572,126.419998,41.790001,16.049999,280.410004,123.059998,23.65,2.963354082,54.0,23.825,166.34,19.91,4736.0,1732.0,3958.0,3004.0,778.0
2018-01-20,11742.94125,973522.0,1.97284764527199e+19,4184387.5,364105467.0,9.56853274784391e+21,429.4031975,4440075.857142857,126.419998,41.790001,16.049999,280.410004,123.059998,23.65,2.963354082,54.0,23.825,166.34,19.91,4736.0,1732.0,3958.0,3004.0,778.0
2018-01-21,12486.06625,985139.0,2.07827962256877e+19,4182050.0,364428633.0,9.56853274784391e+21,343.36269629,4440386.142857143,126.419998,41.790001,16.049999,280.410004,123.059998,23.65,2.963354082,54.0,23.825,166.34,19.91,4736.0,1732.0,3958.0,3004.0,778.0
2018-01-22,11508.62,944978.0,1.87420240310806e+19,4179962.5,364798048.0,9.56853274784391e+21,314.61253947,4440696.428571428,126.650002,42.68,16.040001,282.690002,123.18,23.57,2.963354082,54.0,24.0,168.12,19.48,4736.0,1732.0,3958.0,3004.0,778.0
2018-01-23,10872.9025,900239.0,1.92510491084884e+19,4177750.0,365149760.0,9.56853274784391e+21,285.95800518,4441006.714285715,127.279999,42.639999,16.08,283.290009,123.709999,23.51,2.963354082,54.0,24.0,169.50999,19.6,5193.0,2528.0,4274.0,2665.0,919.0
2018-01-24,10830.9275,944565.0,1.95887190287484e+19,4175550.0,365530249.0,9.56853274784391e+21,283.49809897,4441317.0,128.830002,42.509998,16.559998999999998,283.179993,123.040001,23.280001,2.963354082,54.0,23.84,168.41,19.24,5193.0,2528.0,4274.0,2665.0,919.0
2018-01-25,11629.375,841497.0,1.96371543294223e+19,4173575.0,365882457.0,1.11801318733988e+22,220.85446644,4438161.0,127.970001,42.139999,16.309998999999998,283.299988,124.050003,23.309999,2.963354082,54.0,24.06,168.35001,17.91,5193.0,2528.0,4274.0,2665.0,919.0
2018-01-26,11524.345,807944.0,1.98406315446958e+19,4171637.5,366219352.0,1.11801318733988e+22,209.13221596,4435005.0,128.070007,42.389999,16.41,286.579987,123.589996,23.26,2.963354082,54.0,24.2,170.92999,17.13,5193.0,2528.0,4274.0,2665.0,919.0
2018-01-27,11005.615,870574.0,2.08013545871042e+19,4169675.0,366605451.0,1.11801318733988e+22,168.25469362,4431849.0,128.070007,42.389999,16.41,286.579987,123.589996,23.26,2.963354082,54.0,24.2,170.92999,17.13,5193.0,2528.0,4274.0,2665.0,919.0
2018-01-28,11452.23,768035.0,1.99575288494878e+19,4167700.0,366916089.0,1.11801318733988e+22,155.34485572,4428693.0,128.070007,42.389999,16.41,286.579987,123.589996,23.26,2.963354082,54.0,24.2,170.92999,17.13,5193.0,2528.0,4274.0,2665.0,919.0
2018-01-29,11412.79375,778138.0,1.91212748282548e+19,4165850.0,367258231.0,1.11801318733988e+22,145.75112922,4425537.0,127.349998,41.73,16.209999,284.679993,122.730003,23.32,2.963354082,54.0,24.0,170.10001,15.23,5193.0,2528.0,4274.0,2665.0,919.0
2018-01-30,10917.15125,838805.0,2.16503400224681e+19,4163762.5,367611051.0,1.11801318733988e+22,160.30090386,4422381.0,126.800003,40.849998,16.15,281.76001,122.010002,23.280001,2.963354082,54.0,23.88,168.7,14.28,5738.0,2788.0,4927.0,2950.0,811.0
2018-01-31,9914.4725,676270.0,1.52499000791324e+19,4162300.0,367924550.0,1.11801318733988e+22,162.20623626,4419225.0,127.650002,40.889999,16.35,281.899994,122.730003,23.25,2.963354082,54.0,23.98,169.39999,13.75,5738.0,2788.0,4927.0,2950.0,811.0
2018-02-01,9970.30875,842398.0,2.05410931818776e+19,4160300.0,368309563.0,1.11801318733988e+22,214.02754492,4419442.142857143,128.070007,41.34,16.25,281.579987,120.699997,23.129999,3.0047152319999997,40.0,23.685,167.96001,12.3,5738.0,2788.0,4927.0,2950.0,811.0
2018-02-02,8715.594990000001,854253.0,2.17082412159889e+19,4158200.0,368660032.0,1.11801318733988e+22,274.36258243,4419659.285714285,126.389999,39.57,15.66,275.450012,119.580002,23.27,3.0047152319999997,40.0,23.09,164.61,12.16,5738.0,2788.0,4927.0,2950.0,811.0
2018-02-03,8285.501240000001,714655.0,2.0739193847925e+19,4156225.0,368936648.0,1.11801318733988e+22,146.92776937,4419876.428571428,126.389999,39.57,15.66,275.450012,119.580002,23.27,3.0047152319999997,40.0,23.09,164.61,12.16,5738.0,2788.0,4927.0,2950.0,811.0
2018-02-04,9192.045,720904.0,2.28024780973141e+19,4154000.0,369184938.0,1.11801318733988e+22,111.31669812,4420093.571428572,126.389999,39.57,15.66,275.450012,119.580002,23.27,3.0047152319999997,40.0,23.09,164.61,12.16,5738.0,2788.0,4927.0,2950.0,811.0
2018-02-05,8136.39,903239.0,2.41198385644508e+19,4151687.5,369493226.0,1.11801318733988e+22,173.7675019,4420310.714285715,126.709999,37.919998,15.74,263.929993,120.709999,23.370001,3.0047152319999997,40.0,22.37,158.12,10.7,5738.0,2788.0,4927.0,2950.0,811.0
2018-02-06,6332.37,999110.0,2.19997655823673e+19,4149562.5,369851566.0,1.23466318234703e+22,164.26998571,4420527.857142857,125.379997,38.25,15.65,269.130005,119.959999,23.42,3.0047152319999997,40.0,22.42,162.31,12.95,6932.0,3788.0,5828.0,3144.0,1104.0
2018-02-07,7270.5075,814500.0,2.00487733451874e+19,4147800.0,370167090.0,1.23466318234703e+22,123.52109098,4420745.0,124.790001,37.59,15.41,267.670013,118.82,23.6,3.0047152319999997,40.0,22.57,160.21001,14.32,6932.0,3788.0,5828.0,3144.0,1104.0
2018-02-08,7987.28125,746341.0,1.8766272974748e+19,4146162.5,370424765.0,1.23466318234703e+22,87.98500449,4422761.857142857,124.980003,36.41,15.46,257.630005,118.690002,23.6,3.0047152319999997,40.0,21.91,153.45,14.89,6932.0,3788.0,5828.0,3144.0,1104.0
2018-02-09,8086.7725,775346.0,1.91936446628723e+19,4144475.0,370702172.0,1.23466318234703e+22,88.36425123,4424778.714285715,124.769997,36.389999,15.39,261.5,117.940002,23.620001,3.0047152319999997,40.0,22.11,156.10001,16.05,6932.0,3788.0,5828.0,3144.0,1104.0
2018-02-10,8930.13875,741833.0,2.04364746073901e+19,4142687.5,370976062.0,1.23466318234703e+22,88.79565618,4426795.571428572,124.769997,36.389999,15.39,261.5,117.940002,23.620001,3.0047152319999997,40.0,22.11,156.10001,16.05,6932.0,3788.0,5828.0,3144.0,1104.0
2018-02-11,8045.44,818411.0,2.16655402650058e+19,4140800.0,371202925.0,1.23466318234703e+22,61.96458348,4428812.428571428,124.769997,36.389999,15.39,261.5,117.940002,23.620001,3.0047152319999997,40.0,22.11,156.10001,16.05,6932.0,3788.0,5828.0,3144.0,1104.0
2018-02-12,8478.924990000001,914734.0,2.35666093585695e+19,4138725.0,371489295.0,1.23466318234703e+22,69.96971094,4430829.285714285,125.370003,37.040001,15.57,265.339996,118.459999,23.540001,3.0047152319999997,40.0,22.43,158.87,17.54,6932.0,3788.0,5828.0,3144.0,1104.0
2018-02-13,8766.8525,852822.0,2.4123133968514e+19,4136675.0,371768538.0,1.23466318234703e+22,68.57325292,4432846.142857143,126.080002,36.880001,15.62,266.0,118.989998,23.41,3.0047152319999997,40.0,22.5508,159.69,16.06,5704.0,2935.0,4810.0,2769.0,894.0
2018-02-14,8693.2525,937579.0,2.48420383121396e+19,4134437.5,372063189.0,1.23466318234703e+22,63.75846926,4434863.0,128.229996,37.439999,15.91,269.589996,117.669998,23.23,3.0047152319999997,40.0,23.04,162.67999,16.59,5704.0,2935.0,4810.0,2769.0,894.0
2018-02-15,9659.2875,788513.0,1.8735838948123e+19,4132800.0,372365490.0,1.23466318234703e+22,64.08005499,4431548.285714285,128.380005,37.360001,15.91,273.02999900000003,118.07,23.129999,3.0047152319999997,40.0,23.49,165.7,17.2,5704.0,2935.0,4810.0,2769.0,894.0
2018-02-16,10110.83875,773217.0,2.25981160237455e+19,4130837.5,372644241.0,1.23466318234703e+22,58.25713445,4428233.571428572,127.959999,37.279999,15.73,273.109985,118.709999,23.290001,3.0047152319999997,40.0,23.58,164.96001,11.46,5704.0,2935.0,4810.0,2769.0,894.0
2018-02-17,10474.77125,770441.0,2.12305471569523e+19,4128975.0,372907287.0,1.23466318234703e+22,48.63875388,4424918.857142857,127.959999,37.279999,15.73,273.109985,118.709999,23.290001,3.0047152319999997,40.0,23.58,164.96001,11.46,5704.0,2935.0,4810.0,2769.0,894.0
2018-02-18,10855.9375,730164.0,2.32597724835123e+19,4126950.0,373149861.0,1.23466318234703e+22,44.58328081,4421604.142857143,127.959999,37.279999,15.73,273.109985,118.709999,23.290001,3.0047152319999997,40.0,23.58,164.96001,11.46,5704.0,2935.0,4810.0,2769.0,894.0
2018-02-19,10537.00625,849880.0,2.28829667238947e+19,4124925.0,373435293.0,1.23466318234703e+22,50.9081119,4418289.428571428,127.959999,37.279999,15.73,273.109985,118.709999,23.290001,3.0047152319999997,40.0,23.58,164.96001,11.46,5704.0,2935.0,4810.0,2769.0,894.0
2018-02-20,11416.03875,714634.0,2.08996169878258e+19,4123162.5,373741716.0,1.29166153528337e+22,52.23072575,4414974.714285715,126.239998,37.07,15.54,271.399994,118.190002,23.440001,3.0047152319999997,40.0,23.6,165.28999,10.92,6050.0,3638.0,5246.0,2412.0,804.0
2018-02-21,10928.02,705377.0,2.51565348049382e+19,4121050.0,374047846.0,1.29166153528337e+22,40.68256761,4411660.0,125.660004,36.450001,15.54,270.049988,116.739998,23.530001,3.0047152319999997,40.0,23.48,164.82001,10.6,6050.0,3638.0,5246.0,2412.0,804.0
2018-02-22,10727.9525,713584.0,2.24058825506686e+19,4119187.5,374325899.0,1.29166153528337e+22,37.60222865,4409051.571428572,126.300003,36.880001,15.66,270.399994,117.089996,23.450001,3.0047152319999997,40.0,23.1599,164.8,9.98,6050.0,3638.0,5246.0,2412.0,804.0
